Temperature,Humidity,Carbon Monoxide,Nitrogen Dioxide,Dust (PM2.5),Dust (PM10),Date
15,54,50,0.15,1000,1000,15-12-2020 16:35
15,54,49,0.15,1000,1000,15-12-2020 16:34
15,54,50,0.15,1000,1000,15-12-2020 16:34
15,54,50,0.15,1000,1000,15-12-2020 16:34
15,54,50,0.15,1000,1000,15-12-2020 16:33
15,54,50,0.15,1000,1000,15-12-2020 16:33
15,54,50,0.15,1000,1000,15-12-2020 16:32
15,54,50,0.15,1000,1000,15-12-2020 16:32
15,54,50,0.15,1000,1000,15-12-2020 16:32
15,54,50,0.15,1000,1000,15-12-2020 16:31
15,54,50,0.15,1000,1000,15-12-2020 16:31
15,54,50,0.15,1000,1000,15-12-2020 16:31
15,54,50,0.15,1000,1000,15-12-2020 16:30
15,54,50,0.15,1000,1000,15-12-2020 16:30
15,54,50,0.15,1000,1000,15-12-2020 16:30
16,54,50,0.15,1000,1000,15-12-2020 16:29
16,54,50,0.15,1000,1000,15-12-2020 16:28
16,54,50,0.15,1000,1000,15-12-2020 16:28
16,54,50,0.15,1000,1000,15-12-2020 16:27
16,54,50,0.15,1000,1000,15-12-2020 16:27
16,54,50,0.15,1000,1000,15-12-2020 16:27
16,54,50,0.15,1000,1000,15-12-2020 16:26
16,54,50,0.15,1000,1000,15-12-2020 16:26
16,54,50,0.15,1000,1000,15-12-2020 16:26
16,54,50,0.15,1000,1000,15-12-2020 16:25
16,54,50,0.15,1000,1000,15-12-2020 16:25
15,54,50,0.15,1000,1000,15-12-2020 16:24
15,54,50,0.15,1000,1000,15-12-2020 16:24
15,54,50,0.15,1000,1000,15-12-2020 16:24
15,54,50,0.15,1000,1000,15-12-2020 16:23
15,54,50,0.15,1000,1000,15-12-2020 16:23
15,54,50,0.15,1000,1000,15-12-2020 16:22
15,54,50,0.15,1000,1000,15-12-2020 16:22
15,54,50,0.15,1000,1000,15-12-2020 16:22
15,54,50,0.15,1000,1000,15-12-2020 16:21
15,54,50,0.15,1000,1000,15-12-2020 16:21
15,54,50,0.15,1000,1000,15-12-2020 16:21
15,54,50,0.15,1000,1000,15-12-2020 16:20
15,54,50,0.15,1000,1000,15-12-2020 16:20
15,54,50,0.15,1000,1000,15-12-2020 16:20
15,54,50,0.15,1000,1000,15-12-2020 16:19
15,54,50,0.15,1000,1000,15-12-2020 16:19
15,54,50,0.15,1000,1000,15-12-2020 16:19
15,54,50,0.15,1000,1000,15-12-2020 16:18
15,54,50,0.15,1000,1000,15-12-2020 16:18
15,54,50,0.15,1000,1000,15-12-2020 16:18
15,54,50,0.15,1000,1000,15-12-2020 16:17
15,54,50,0.15,1000,1000,15-12-2020 16:17
15,54,50,0.15,1000,1000,15-12-2020 16:17
15,54,50,0.15,1000,1000,15-12-2020 16:16
16,54,50,0.15,1000,1000,15-12-2020 16:16
16,54,50,0.15,1000,1000,15-12-2020 16:16
16,54,50,0.15,1000,1000,15-12-2020 16:15
16,54,50,0.15,1000,1000,15-12-2020 16:15
16,54,50,0.15,1000,1000,15-12-2020 16:15
16,54,50,0.15,1000,1000,15-12-2020 16:14
16,54,50,0.15,1000,1000,15-12-2020 16:14
16,54,50,0.14,1000,1000,15-12-2020 16:14
16,54,50,0.14,1000,1000,15-12-2020 16:13
16,54,50,0.14,1000,1000,15-12-2020 16:13
16,54,50,0.15,1000,1000,15-12-2020 16:13
15,54,50,0.14,1000,1000,15-12-2020 16:12
15,54,50,0.15,1000,1000,15-12-2020 16:12
15,54,50,0.14,1000,1000,15-12-2020 16:12
15,54,50,0.14,1000,1000,15-12-2020 16:11
15,54,50,0.14,1000,1000,15-12-2020 16:11
15,54,50,0.14,1000,1000,15-12-2020 16:11
15,54,50,0.14,1000,1000,15-12-2020 16:10
15,54,50,0.14,1000,1000,15-12-2020 16:10
15,54,50,0.14,1000,1000,15-12-2020 16:10
15,54,50,0.14,1000,1000,15-12-2020 16:09
15,54,50,0.14,1000,1000,15-12-2020 16:09
15,54,50,0.14,1000,1000,15-12-2020 16:09
15,54,50,0.14,1000,1000,15-12-2020 16:08
15,54,50,0.14,1000,1000,15-12-2020 16:08
15,54,50,0.14,1000,1000,15-12-2020 16:08
15,54,50,0.14,1000,1000,15-12-2020 16:07
15,54,50,0.14,1000,1000,15-12-2020 16:07
15,54,50,0.14,1000,1000,15-12-2020 16:07
15,54,50,0.14,1000,1000,15-12-2020 16:06
15,54,50,0.14,1000,1000,15-12-2020 16:06
15,54,50,0.14,1000,1000,15-12-2020 16:06
15,54,50,0.14,1000,1000,15-12-2020 16:05
15,54,50,0.14,1000,1000,15-12-2020 16:05
15,54,50,0.14,1000,1000,15-12-2020 16:05
15,54,50,0.14,1000,1000,15-12-2020 16:04
16,54,50,0.14,1000,1000,15-12-2020 16:04
16,54,50,0.14,1000,1000,15-12-2020 16:04
16,54,50,0.14,1000,1000,15-12-2020 16:03
16,54,50,0.14,1000,1000,15-12-2020 16:03
16,54,50,0.14,1000,1000,15-12-2020 16:03
16,54,50,0.14,0,0,15-12-2020 16:02
16,54,50,0.14,0,0,15-12-2020 16:02
16,54,50,0.14,0,0,15-12-2020 16:02
16,54,50,0.14,0,0,15-12-2020 16:01
16,54,50,0.14,0,0,15-12-2020 16:01
16,54,50,0.13,1000,1000,15-12-2020 15:59
16,54,50,0.13,1000,1000,15-12-2020 15:59
16,54,50,0.13,1000,1000,15-12-2020 15:59
