TEMP,PID,USER,PR,NI,VIRT,RES,SHR,S,CPU,MEM,TIME,ENV,COMMAND
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,5:06.94,python3,rf_t.py
T60.3C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,5:08.13,python3,rf_t.py
T60.3C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,5:09.32,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,5:10.51,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,106.2,5.8,5:11.71,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,5:12.90,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,5:14.10,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,5:15.29,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,5:16.48,python3,rf_t.py
T60.3C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,5:17.67,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,5:18.86,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,5:20.06,python3,rf_t.py
T60.3C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,5:21.25,python3,rf_t.py
T60.3C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,5:22.43,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,5:23.62,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,5:24.81,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,5:26.01,python3,rf_t.py
T60.3C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,5:27.20,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,5:28.39,python3,rf_t.py
T60.3C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,5:29.59,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,5:30.78,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,5:31.98,python3,rf_t.py
T60.3C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,5:33.17,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,5:34.36,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,5:35.55,python3,rf_t.py
T60.3C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,5:36.74,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,106.2,5.8,5:37.94,python3,rf_t.py
