Time (ms),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V)
43000.00,0.002,0,0,417.8,2013.796,4.82
43200.00,0.012,0,0,410.964,1985.778,4.832
43400.00,0.008,0,0,357.393,1737.6448,4.862
43600.00,0,0,0,407.652,1969.7744,4.832
43800.00,-0.009,0,0,450.326,2160.6641,4.798
44000.00,0,0,0,414.353,1998.0101,4.822
44200.00,0.015,0,0,411.774,1988.0448,4.828
44400.00,-0.004,0,0,357.462,1738.6952,4.864
44600.00,-0.007,0,0,451.819,2166.9238,4.796
44800.00,0.012,0,0,410.786,1982.4534,4.826
45000.00,0.01,0,0,362.114,1759.8741,4.86
45200.00,0.003,0,0,411.305,1986.603,4.83
45400.00,-0.023,0,0,411.206,1984.4802,4.826
45600.00,-0.014,0,0,357.672,1740.432,4.866
45800.00,0.009,0,0,410.256,1979.8956,4.826
46000.00,-0.018,0,0,357.77,1740.1931,4.864
46200.00,0.009,0,0,411.971,1988.9961,4.828
46400.00,0,0,0,404.431,1951.7841,4.826
46600.00,0.006,0,0,357.511,1738.9333,4.864
46800.00,0,0,0,407.059,1965.2809,4.828
47000.00,0.008,0,0,408.079,1970.2054,4.828
47200.00,0.011,0,0,358.283,1742.6884,4.864
47400.00,-0.01,0,0,415.393,2003.8558,4.824
47600.00,-0.001,0,0,409.913,1979.0599,4.828
47800.00,-0.015,0,0,357.093,1737.6145,4.866
48000.00,0.003,0,0,407.626,1969.6488,4.832
48200.00,0.002,0,0,415.24,2003.9482,4.826
48400.00,0.022,0,0,357.272,1737.0565,4.862
48600.00,0.004,0,0,410.007,1981.1537,4.832
48800.00,0.019,0,0,357.729,1739.2784,4.862
49000.00,0,0,0,413.57,1995.0616,4.824
49200.00,0,0,0,408.443,1971.146,4.826
49400.00,0,0,0,357.859,1740.6262,4.864
49600.00,0.016,0,0,408.917,1974.2512,4.828
49800.00,-0.007,0,0,412.064,1989.4449,4.828
50000.00,0.012,0,0,357.946,1741.0493,4.864
50200.00,0.012,0,0,412.039,1989.3243,4.828
50400.00,0,0,0,434.238,2093.8958,4.822
50600.00,0,0,0,449.32,2155.8374,4.798
50800.00,-0.001,0,0,449.826,2159.1648,4.8
51000.00,0,0,0,407.93,1970.3019,4.83
51200.00,-0.01,0,0,409.744,1977.4246,4.826
51400.00,0.015,0,0,357.741,1740.0521,4.864
51600.00,0.008,0,0,411.414,1985.484,4.826
