Time (ms),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V)
57600.00,-0.006,0,0,403.92,1952.5494,4.834
57800.00,-0.008,0,0,403.464,1951.1519,4.836
58000.00,-0.011,0,0,403.826,1951.2871,4.832
58200.00,-0.005,0,0,404.209,1953.1378,4.832
58400.00,0.015,0,0,404.414,1954.1284,4.832
58600.00,-0.008,0,0,564.538,2668.0066,4.726
58800.00,-0.024,0,0,404.303,1954.4008,4.834
59000.00,-0.01,0,0,404.036,1953.9181,4.836
59200.00,-0.019,0,0,404.764,1956.6293,4.834
59400.00,0.004,0,0,403.991,1952.8926,4.834
59600.00,0.006,0,0,313.634,1535.552,4.896
59800.00,0.021,0,0,313.159,1533.2264,4.896
60000.00,0.007,0,0,363.62,1769.375,4.866
60200.00,-0.001,0,0,313.282,1534.4552,4.898
60400.00,0.008,0,0,355.58,1729.541,4.864
60600.00,-0.009,0,0,313.22,1532.8987,4.894
60800.00,-0.015,0,0,363.972,1768.1758,4.858
61000.00,-0.001,0,0,313.152,1533.8185,4.898
61200.00,0.005,0,0,313.152,1533.8185,4.898
61400.00,-0.007,0,0,313.479,1535.42,4.898
61600.00,-0.006,0,0,366.878,1783.0271,4.86
61800.00,0.001,0,0,313.8,1537.62,4.9
62000.00,-0.009,0,0,313.961,1538.4089,4.9
62200.00,0.008,0,0,313.603,1535.4003,4.896
62400.00,0,0,0,360.919,1754.0664,4.86
62600.00,0.009,0,0,364.14,1769.7205,4.86
62800.00,-0.014,0,0,407.556,1968.4955,4.83
63000.00,0.003,0,0,311.875,1527.5637,4.898
63200.00,0.013,0,0,362.437,1762.1687,4.862
63400.00,-0.011,0,0,426.594,2054.4766,4.816
63600.00,-0.006,0,0,362.283,1761.4199,4.862
63800.00,0.002,0,0,408.917,1974.2512,4.828
64000.00,0.002,0,0,353.355,1719.4255,4.866
64200.00,-0.005,0,0,405.362,1959.5199,4.834
64400.00,-0.016,0,0,470.474,2251.6885,4.786
64600.00,0,0,0,405.234,1958.0907,4.832
64800.00,-0.002,0,0,417.103,2011.2706,4.822
65000.00,0,0,0,447.193,2148.3152,4.804
