Time (ms),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V)
185600.00,0,0,0,368.993,1794.0441,4.862
185800.00,-0.006,0,0,318.07,1557.2708,4.896
186000.00,0.006,0,0,312.689,1531.5507,4.898
186200.00,0.017,0,0,427.22,2054.9282,4.81
186400.00,0,0,0,363.344,1765.8518,4.86
186600.00,-0.008,0,0,362.838,1763.3928,4.86
186800.00,-0.011,0,0,361.691,1759.265,4.864
187000.00,0.013,0,0,314.892,1541.7112,4.896
187200.00,0.018,0,0,431,2074.834,4.814
187400.00,-0.004,0,0,363.263,1766.1847,4.862
187600.00,0.018,0,0,365.3,1775.358,4.86
187800.00,0.008,0,0,362.925,1765.2671,4.864
188000.00,0.001,0,0,353.089,1718.8372,4.868
188200.00,-0.015,0,0,426.792,2056.2837,4.818
188400.00,-0.007,0,0,363.863,1766.191,4.854
188600.00,-0.01,0,0,363.221,1765.2542,4.86
188800.00,-0.012,0,0,360.647,1754.187,4.864
189000.00,0.012,0,0,361.585,1757.3031,4.86
189200.00,0.024,0,0,365.189,1775.549,4.862
189400.00,-0.019,0,0,311.61,1526.2656,4.898
189600.00,-0.015,0,0,312.955,1532.8534,4.898
189800.00,-0.013,0,0,363.318,1765.7255,4.86
190000.00,-0.013,0,0,365.046,1774.1235,4.86
190200.00,-0.002,0,0,407.104,1967.1265,4.832
190400.00,0.004,0,0,404.821,1956.0951,4.832
190600.00,-0.012,0,0,404.981,1956.0581,4.83
190800.00,0.022,0,0,491.217,2343.1052,4.77
191000.00,0.001,0,0,404.977,1956.0388,4.83
191200.00,0.002,0,0,405.656,1960.9412,4.834
191400.00,-0.026,0,0,404.301,1954.3911,4.834
191600.00,0.01,0,0,404.918,1956.5637,4.832
191800.00,0.003,0,0,405.182,1958.6499,4.834
192000.00,-0.002,0,0,565.473,2667.9016,4.718
192200.00,0.009,0,0,405.256,1958.1969,4.832
192400.00,-0.009,0,0,404.836,1955.3578,4.83
192600.00,0.003,0,0,405.528,1959.5112,4.832
192800.00,0.024,0,0,405.105,1958.2777,4.834
193000.00,-0.017,0,0,405.636,1959.2218,4.83
193200.00,0.004,0,0,404.685,1954.6285,4.83
193400.00,-0.012,0,0,405.796,1961.6179,4.834
193600.00,-0.016,0,0,405.969,1962.4541,4.834
193800.00,-0.018,0,0,404.977,1957.6588,4.834
194000.00,-0.002,0,0,565.931,2667.7991,4.714
194200.00,-0.003,0,0,405.236,1957.2898,4.83
194400.00,0.007,0,0,405.137,1957.6218,4.832
194600.00,0.024,0,0,405.379,1957.1698,4.828
194800.00,0.003,0,0,448.538,2152.9824,4.8
195000.00,-0.018,0,0,405.392,1958.0433,4.83
195200.00,-0.004,0,0,359.087,1745.881,4.862
195400.00,-0.001,0,0,368.306,1789.9672,4.86
195600.00,-0.004,0,0,361.918,1761.093,4.866
195800.00,0,0,0,366.009,1779.5358,4.862
196000.00,0.006,0,0,365.749,1776.8086,4.858
196200.00,0.016,0,0,360.393,1752.2308,4.862
196400.00,-0.012,0,0,361.078,1756.2833,4.864
196600.00,-0.004,0,0,417.043,2009.3131,4.818
196800.00,0.015,0,0,360.573,1753.106,4.862
197000.00,0,0,0,370.792,1801.3074,4.858
197200.00,0.004,0,0,313.917,1537.5653,4.898
197400.00,-0.01,0,0,365.615,1775.4264,4.856
197600.00,-0.003,0,0,424.644,2050.1814,4.828
197800.00,0.003,0,0,312.769,1530.066,4.892
198000.00,0.014,0,0,364.333,1771.3871,4.862
198200.00,-0.017,0,0,363.205,1765.1763,4.86
198400.00,-0.004,0,0,460.189,2205.2256,4.792
198600.00,0.004,0,0,360.675,1754.3231,4.864
198800.00,0,0,0,362.983,1765.5493,4.864
199000.00,0.008,0,0,407.71,1968.4238,4.828
199200.00,-0.003,0,0,312.478,1529.2673,4.894
199400.00,-0.01,0,0,437.332,2101.8176,4.806
199600.00,0.014,0,0,363.691,1768.993,4.864
199800.00,-0.012,0,0,312.726,1531.7319,4.898
200000.00,-0.006,0,0,368.498,1789.4261,4.856
200200.00,0,0,0,313.065,1532.7662,4.896
200400.00,0,0,0,428.129,2061.8691,4.816
200600.00,0.014,0,0,368.011,1787.7972,4.858
200800.00,-0.016,0,0,312.559,1531.5391,4.9
201000.00,0.022,0,0,362.865,1764.9752,4.864
201200.00,0,0,0,364.506,1772.2283,4.862
201400.00,0.012,0,0,405.247,1957.343,4.83
201600.00,-0.009,0,0,405.304,1958.4287,4.832
201800.00,0.007,0,0,405.686,1961.0862,4.834
202000.00,0.007,0,0,405.674,1960.2167,4.832
202200.00,0.001,0,0,405.457,1957.5464,4.828
202400.00,-0.005,0,0,405.333,1957.7584,4.83
202600.00,-0.004,0,0,405.284,1958.3322,4.832
202800.00,0.014,0,0,404.906,1956.5057,4.832
203000.00,0,0,0,405.19,1958.6885,4.834
203200.00,0.01,0,0,421.526,2034.2845,4.826
203400.00,0.006,0,0,564.992,2665.6323,4.718
203600.00,-0.001,0,0,405.651,1958.483,4.828
203800.00,-0.01,0,0,405.059,1957.245,4.832
204000.00,-0.001,0,0,405.49,1958.5166,4.83
204200.00,-0.016,0,0,405.404,1959.7229,4.834
204400.00,0,0,0,405.663,1960.975,4.834
204600.00,0.005,0,0,405.404,1958.1012,4.83
204800.00,-0.009,0,0,405.762,1961.4535,4.834
205000.00,-0.003,0,0,405.392,1958.0433,4.83
205200.00,0.002,0,0,405.261,1958.2209,4.832
205400.00,-0.005,0,0,613.297,2876.363,4.69
205600.00,0.02,0,0,405.113,1957.506,4.832
205800.00,-0.002,0,0,405.438,1959.8873,4.834
206000.00,-0.029,0,0,409.128,1973.6334,4.824
206200.00,-0.004,0,0,405.598,1959.8494,4.832
206400.00,-0.007,0,0,370.797,1799.8486,4.854
206600.00,0.009,0,0,370.649,1800.6127,4.858
206800.00,-0.002,0,0,410.465,1981.725,4.828
207000.00,0.006,0,0,370.857,1801.6232,4.858
207200.00,-0.007,0,0,411.391,1985.373,4.826
207400.00,0.01,0,0,360.572,1754.5433,4.866
207600.00,0.009,0,0,368.322,1788.5715,4.856
207800.00,-0.009,0,0,360.319,1751.1504,4.86
208000.00,0.003,0,0,312.646,1530.7147,4.896
208200.00,0.002,0,0,362.929,1765.2865,4.864
208400.00,0.004,0,0,363.324,1766.4813,4.862
208600.00,-0.005,0,0,363.435,1766.2942,4.86
208800.00,0,0,0,417.352,2012.4713,4.822
209000.00,0,0,0,365.631,1776.9668,4.86
209200.00,-0.002,0,0,315.59,1545.1285,4.896
209400.00,-0.005,0,0,363.299,1767.0863,4.864
209600.00,0,0,0,366.162,1780.2795,4.862
209800.00,0.003,0,0,439.935,2115.2075,4.808
210000.00,-0.001,0,0,365.446,1776.7985,4.862
210200.00,0,0,0,368.063,1788.7861,4.86
210400.00,0,0,0,315.442,1543.7731,4.894
210600.00,-0.012,0,0,314.781,1540.5382,4.894
210800.00,0.012,0,0,427.664,2058.7747,4.814
211000.00,-0.012,0,0,370.316,1798.2545,4.856
211200.00,0.007,0,0,404.944,1955.8795,4.83
211400.00,0.003,0,0,406.03,1961.1249,4.83
211600.00,0.012,0,0,405.705,1960.3665,4.832
211800.00,0.006,0,0,406.421,1963.0133,4.83
212000.00,-0.002,0,0,405.15,1958.4951,4.834
212200.00,-0.004,0,0,565.539,2667.082,4.716
212400.00,-0.001,0,0,407.948,1970.3888,4.83
212600.00,0.004,0,0,406.081,1961.3712,4.83
212800.00,0.003,0,0,405.551,1960.4336,4.834
213000.00,-0.02,0,0,453.875,2175.8767,4.794
213200.00,-0.006,0,0,405.208,1958.7755,4.834
213400.00,0.005,0,0,406.023,1962.7153,4.834
213600.00,-0.008,0,0,405.662,1960.1587,4.832
213800.00,0.012,0,0,405.736,1961.3279,4.834
214000.00,0.009,0,0,405.304,1958.4287,4.832
214200.00,-0.002,0,0,565.282,2664.7395,4.714
214400.00,-0.005,0,0,405.529,1960.3271,4.834
214600.00,-0.009,0,0,405.299,1957.5942,4.83
214800.00,0.001,0,0,405.484,1958.4877,4.83
215000.00,0.016,0,0,406.155,1961.7286,4.83
215200.00,-0.012,0,0,405.304,1958.4287,4.832
215400.00,-0.01,0,0,447.788,2149.3826,4.8
215600.00,0.001,0,0,405.312,1958.4675,4.832
215800.00,0.019,0,0,405.324,1957.715,4.83
216000.00,0.014,0,0,405.447,1958.309,4.83
216200.00,-0.007,0,0,408.483,1972.156,4.828
216400.00,-0.015,0,0,365.143,1774.5951,4.86
216600.00,-0.005,0,0,365.475,1776.2086,4.86
216800.00,-0.003,0,0,371.423,1802.8873,4.854
217000.00,-0.002,0,0,368.288,1789.1429,4.858
217200.00,-0.008,0,0,449.396,2159.7974,4.806
217400.00,-0.01,0,0,366.111,1779.2994,4.86
217600.00,-0.008,0,0,355.271,1729.4592,4.868
217800.00,0.012,0,0,408.138,1970.4902,4.828
218000.00,0.006,0,0,410.914,1983.071,4.826
218200.00,-0.004,0,0,533.308,2528.9465,4.742
218400.00,0,0,0,403.029,1947.436,4.832
218600.00,0.006,0,0,413.707,1995.7225,4.824
218800.00,0.007,0,0,354.815,1726.5299,4.866
219000.00,0,0,0,405.315,1957.6714,4.83
219200.00,-0.007,0,0,471.919,2259.5483,4.788
219400.00,-0.003,0,0,405.549,1960.424,4.834
219600.00,-0.01,0,0,360.832,1753.6436,4.86
219800.00,0.01,0,0,360.961,1754.9924,4.862
220000.00,0.001,0,0,361.245,1756.3732,4.862
220200.00,-0.008,0,0,417.022,2010.8801,4.822
220400.00,-0.024,0,0,370.249,1797.1886,4.854
220600.00,0.002,0,0,355.809,1732.0781,4.868
220800.00,0.012,0,0,363.152,1764.9188,4.86
221000.00,0,0,0,363.041,1764.3793,4.86
221200.00,-0.019,0,0,420.045,2026.2971,4.824
221400.00,-0.006,0,0,368.163,1789.2722,4.86
