timestamp,Temperature,Humidity,feels_like,temp_min,temp_max,pressure,wind_speed,wind_deg,rain,clouds_all,weather,AQI
2019-03-21 20,25.05,52.98,25.18,24.14,26.0,1013,2.51,348,0.0,20,0,2
2019-03-21 21,23.98,55.8,24.19,23.52,25.0,1013,2.74,352,0.0,20,0,3
2019-03-21 22,22.02,61.2,24.03,21.25,27.22,1009,2.94,354,0.0,20,0,3
2019-03-21 23,20.7,65.12,21.35,20.79,23.0,1014,3.19,355,0.0,20,0,3
2019-03-22 00,21.45,57.28,21.06,20.63,23.0,1014,3.54,353,0.0,20,0,2
2019-03-22 01,20.98,55.2,18.94,19.64,22.0,1014,3.66,350,0.0,20,0,2
2019-03-22 02,20.02,55.38,19.0,19.4,22.0,1014,3.47,348,0.0,20,0,2
2019-03-22 03,19.23,56.08,17.27,17.9,21.5,1013,3.5,338,0.0,20,0,2
2019-03-22 04,18.4,59.43,16.79,17.6,19.0,1013,3.28,334,0.0,20,0,2
2019-03-22 05,17.95,59.98,17.11,17.6,19.0,1014,3.04,330,0.0,20,0,1
2019-03-22 06,15.3,73.12,16.36,17.0,18.29,1014,2.87,323,0.0,20,0,1
2019-03-22 07,14.07,80.57,17.66,17.0,19.4,1015,1.0,270,0.0,1,0,2
2019-03-22 08,16.38,71.53,17.98,17.8,20.0,1016,2.1,290,0.0,1,0,3
2019-03-22 09,20.2,55.33,19.62,17.8,23.0,1016,2.6,270,0.0,1,0,4
2019-03-22 10,23.12,43.62,24.23,24.05,27.78,1013,2.1,280,0.0,1,0,3
2019-03-22 11,26.73,34.6,24.36,27.0,28.33,1013,4.1,290,0.0,1,0,2
2019-03-22 12,29.05,29.43,23.48,27.0,29.0,1012,6.2,320,0.0,1,0,2
2019-03-22 13,29.9,26.48,24.58,28.2,29.72,1011,5.1,310,0.0,1,0,2
2019-03-22 14,29.75,20.38,23.59,28.2,30.25,1010,7.2,270,0.0,1,0,1
2019-03-22 15,30.27,20.2,25.95,27.78,30.0,1010,3.6,280,0.0,1,0,1
2019-03-22 16,29.4,22.3,23.64,26.6,29.0,1009,6.2,290,0.0,1,0,1
2019-03-22 17,27.77,30.4,24.49,26.0,28.89,1010,4.1,280,0.0,1,0,1
2019-03-22 18,25.98,34.92,24.0,26.0,27.18,1013,3.1,300,0.0,20,0,1
2019-03-22 19,23.43,42.17,22.39,24.0,26.0,1013,3.1,300,0.0,20,0,1
2019-03-22 20,20.62,53.38,22.26,21.72,23.0,1014,1.5,270,0.0,0,0,2
2019-03-22 21,19.17,60.7,21.31,20.8,22.6,1015,1.5,270,0.0,0,0,3
2019-03-22 22,17.62,70.55,20.25,19.1,22.0,1015,2.6,270,0.0,20,0,4
2019-03-22 23,16.42,77.1,18.81,18.69,20.0,1015,2.6,270,0.0,20,0,5
2019-03-23 00,15.3,80.0,18.01,18.18,19.4,1015,2.6,270,0.0,20,0,5
2019-03-23 01,15.22,79.83,16.66,17.15,18.5,1015,2.6,270,0.0,20,0,5
2019-03-23 02,14.6,81.33,16.75,17.25,18.5,1014,2.6,270,0.0,20,0,5
2019-03-23 03,14.28,82.2,14.49,16.01,17.0,1014,3.1,270,0.0,1,0,5
2019-03-23 04,13.6,84.28,13.37,16.0,16.69,1014,4.1,270,0.0,1,0,4
2019-03-23 05,13.07,85.48,14.96,16.0,18.2,1014,3.1,270,0.0,15,0,4
2019-03-23 06,12.95,84.62,16.1,16.86,18.2,1015,2.57,270,0.0,20,0,5
2019-03-23 07,12.85,84.35,17.03,18.0,20.4,1015,2.6,270,0.0,20,0,5
2019-03-23 08,15.77,72.7,19.74,18.6,21.0,1015,1.5,290,0.0,1,0,5
2019-03-23 09,20.7,56.67,19.87,18.6,24.0,1015,4.1,300,0.0,1,0,5
2019-03-23 10,24.0,42.77,22.96,24.95,26.2,1015,5.1,240,0.0,1,0,5
2019-03-23 11,26.4,37.12,24.61,26.2,28.0,1011,4.1,290,0.0,40,0,4
2019-03-23 12,27.5,35.4,25.76,27.3,28.36,1010,4.1,290,0.0,40,0,2
2019-03-23 13,29.35,30.35,26.84,28.8,29.9,1013,4.1,270,0.0,20,0,2
2019-03-23 14,30.25,29.45,25.85,28.8,31.32,1012,6.2,270,0.0,1,0,2
2019-03-23 15,30.22,29.43,24.68,28.33,30.0,1008,6.7,270,0.0,1,0,2
2019-03-23 16,30.15,29.18,25.85,27.2,29.68,1008,4.1,280,0.0,1,0,1
2019-03-23 17,28.52,30.8,26.94,27.2,29.19,1008,2.6,270,0.0,1,0,1
2019-03-23 18,26.6,37.5,26.14,26.0,28.89,1009,2.6,290,0.0,20,0,2
2019-03-23 19,24.15,48.82,25.32,25.68,27.0,1012,2.6,290,0.0,20,0,2
2019-03-23 20,21.8,60.02,23.54,23.54,24.04,1013,2.1,320,0.0,0,0,2
2019-03-23 21,19.9,70.88,22.97,22.86,24.0,1013,2.1,320,0.0,0,0,3
2019-03-23 22,18.95,73.55,21.81,21.04,22.2,1014,1.5,320,0.0,2,3,3
2019-03-23 23,19.45,70.28,21.79,20.87,22.2,1014,1.5,320,0.0,0,3,3
2019-03-24 00,19.75,63.1,21.79,20.89,22.2,1014,1.5,320,0.0,1,3,3
2019-03-24 01,19.98,54.02,19.02,19.51,21.0,1013,2.1,260,0.0,1,0,3
2019-03-24 02,18.4,58.95,17.61,19.02,20.0,1012,2.6,270,0.0,1,0,2
2019-03-24 03,17.38,62.12,17.27,18.25,20.0,1012,2.6,280,0.0,1,0,2
2019-03-24 04,16.8,64.25,16.71,18.0,18.68,1012,2.1,230,0.0,1,0,2
2019-03-24 05,16.03,69.35,16.47,16.0,19.92,1012,1.5,270,0.0,0,0,2
2019-03-24 06,14.9,75.68,16.08,15.0,19.83,1012,1.54,250,0.0,0,0,3
2019-03-24 07,15.2,74.62,17.91,17.0,20.87,1013,1.5,250,0.0,1,0,3
2019-03-24 08,17.27,67.98,18.35,18.8,20.92,1014,2.6,270,0.0,1,0,5
2019-03-24 09,20.82,58.5,18.97,18.8,23.0,1014,3.1,260,0.0,1,0,5
2019-03-24 10,24.57,47.0,24.89,24.0,28.2,1010,2.1,260,0.0,1,0,5
2019-03-24 11,27.7,39.62,26.92,28.0,29.52,1010,3.1,270,0.0,1,0,3
2019-03-24 12,29.92,35.12,26.85,28.89,30.08,1009,4.1,270,0.0,1,0,3
2019-03-24 13,31.15,29.95,30.21,31.0,31.87,1012,2.1,270,0.0,1,0,2
2019-03-24 14,31.35,31.45,30.7,30.0,32.21,1011,2.6,270,0.0,1,0,1
2019-03-24 15,31.43,32.17,31.21,29.4,32.0,1007,1.5,320,0.0,1,0,2
2019-03-24 16,30.72,32.6,29.55,29.2,31.0,1007,3.1,340,0.0,1,0,2
2019-03-24 17,29.5,38.5,28.36,28.0,29.98,1007,3.1,320,0.0,1,0,1
2019-03-24 18,27.85,45.62,27.93,27.0,29.84,1007,2.6,320,0.0,1,0,1
2019-03-24 19,25.2,58.88,26.31,26.0,27.07,1011,2.6,320,0.0,1,0,2
